movie_title;critique_attributes;softmax_alpha;accuracy;diversity;serendipity;n_results
The Shining (1997);['director'];0.5;0.46373733634271896;0.5667359407416799;0.2;5
The Shining (1997);['genre', 'tag'];0.5;0.48433792868545184;0.7124326006719105;0.8;5
The Shining (1997);['starring', 'director'];0.5;0.0;0.0;0.0;0
The Shining (1997);['genre', 'tag', 'starring', 'director'];0.5;0.0;0.0;0.0;0
The Shining (1997);[];1.0;0.4535626222399318;0.7605113436150353;0.6;5
The Shining (1997);['genre'];1.0;0.49533462862522526;0.7378508497540218;0.4;5
The Shining (1997);['tag'];1.0;0.4887903970592748;0.67532396486442;0.2;5
The Shining (1997);['starring'];1.0;0.4410367224278261;0.63938195302329;0.2;5
The Shining (1997);['director'];1.0;0.4701441824431994;0.5745578757643071;0.0;5
The Shining (1997);['genre', 'tag'];1.0;0.49795975798049835;0.6847444705627093;0.4;5
The Shining (1997);['starring', 'director'];1.0;0.0;0.0;0.0;0
The Shining (1997);['genre', 'tag', 'starring', 'director'];1.0;0.0;0.0;0.0;0
The Shining (1997);[];1.5;0.47073116832249423;0.7037721672556894;0.2;5
The Shining (1997);['genre'];1.5;0.5015336178365968;0.6442489575247053;0.2;5
The Shining (1997);['tag'];1.5;0.4887903970592748;0.67532396486442;0.2;5
The Shining (1997);['starring'];1.5;0.4211400354827447;0.6607294448353975;0.2;5
The Shining (1997);['director'];1.5;0.45137169033223545;0.5549108596643508;0.2;5
The Shining (1997);['genre', 'tag'];1.5;0.5168005025008616;0.5548731839256116;0.2;5
The Shining (1997);['starring', 'director'];1.5;0.0;0.0;0.0;0
The Shining (1997);['genre', 'tag', 'starring', 'director'];1.5;0.0;0.0;0.0;0
The Avengers (2012);[];0.5;0.38848410262343763;0.7826280880450082;0.6;5
The Avengers (2012);['genre'];0.5;0.4514225358484117;0.7350545988571813;0.8;5
The Avengers (2012);['tag'];0.5;0.45328644417347475;0.6331584080162355;0.4;5
The Avengers (2012);['starring'];0.5;0.4772772331398805;0.6818111900435007;0.6;5
